"productId","gender","category","type","baseColor","productName","price","size","userId","image"
"1607","Men","Bottomwear","Track Pants","Blue","Reebok Men trackpant- male Track Pants","90","L","359","http://assets.myntassets.com/v1/images/style/properties/b9828d5eb23f75d6cb4ba5a66f292b83_images.jpg"
"1609","Women","Topwear","Sweatshirts","Pink","Reebok Women Boat-Neck Wildberry Sweatshirt","344","XS","439","http://assets.myntassets.com/v1/images/style/properties/7b661983ddd630db69f2847a53e25704_images.jpg"
"1636","Men","Shoes","Sports Shoes","White","Nike Men Air Zoom Century Shoes","256","8","19","http://assets.myntassets.com/v1/images/style/properties/7c80fca789c5c1863a4080d7ed57acf0_images.jpg"
"1662","Men","Topwear","Jackets","Navy Blue","Nike Men Blue Windrunner Jacket","34","3XL","295","http://assets.myntassets.com/v1/images/style/properties/Nike-Men-Blue-Windrunner-Jacket_157715f98badcdedb27fbc8deb5d3c3a_images.jpg"
"1852","Men","Topwear","Tshirts","Blue","Inkfruit Men Ride It Or Die T-shirt","65","XS","314","http://assets.myntassets.com/v1/images/style/properties/2e95da933ac14a9c46b2629146a5ad51_images.jpg"
"1855","Men","Topwear","Tshirts","Grey","Inkfruit Mens Chain Reaction T-shirt","93","XS","56","http://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg"
"1863","Men","Topwear","Tshirts","Black","Inkfruit Men Night Wolf T-shirt","50","M","306","http://assets.myntassets.com/v1/images/style/properties/4e234092eeb7a1448aed7c155138bdd6_images.jpg"
"1890","Men","Topwear","Tshirts","Red","FIFA Mens Essentials Red T-shirt","58","XS","31","http://assets.myntassets.com/v1/images/style/properties/f0fbf247458326317521ec367f72a2a7_images.jpg"
"1897","Men","Topwear","Tshirts","Blue","FIFA Men Germany Blue Jersey","321","S","255","http://assets.myntassets.com/v1/images/style/properties/e80f3fc54b451cd28bcc223cd3ccf63e_images.jpg"
"2014","Men","Topwear","Tshirts","Yellow","ADIDAS Men's Classic Yellow Polo T-shirt","317","3XL","317","http://assets.myntassets.com/v1/images/style/properties/675a4ce053d49f8bd9b4f89a4b283a6f_images.jpg"
